Name,Latitude,Longitude
Kampala Uganda,0.3476,32.5825
Kigali Rwanda,-1.9441,30.0619
Bujumbura Burundi,-3.3731,29.9189
Dar es Salaam Tanzania,-6.7924,39.2083
Nairobi Kenya,-1.2864,36.8172
Mogadishu Somalia,2.0469,45.3182
Kinshasa DRC,-4.3276,15.3136
Entebbe Uganda,0.0640,32.4435
Gisenyi Rwanda,-1.7028,29.2560
Ngozi Burundi,-2.9073,29.8306
Dodoma Tanzania,-6.1630,35.7516
Mombasa Kenya,-4.0435,39.6682
Hargeisa Somalia,9.5600,44.0650
Lubumbashi DRC,-11.6689,27.4794
Gulu Uganda,2.7747,32.2990
